symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
ALKEM,"3,150.00","3,202.00","3,150.00","3,181.40",31.65,1.00,0.26,0.03,8.28,0.08,"3,724.95","2,828.00",.00,.00,17-FEB-2023,INTERIM DIVIDEND - RS 15 PER SHARE & SPECIAL DIVIDEND RS 25 PER SHARE,"3,149.75",-,31.65,1.00,-12.82,-2.28
PRAJIND,328.50,335.75,328.25,333.50,3.30,1.00,2.64,0.26,8.79,0.09,461.60,289.05,78.95,40.15,31-DEC-2999,-,330.20,-,3.30,1.00,-11.77,-6.07
SKFINDIA,"4,274.15","4,299.70","4,242.50","4,294.80",41.95,0.99,0.03,0.00,1.09,0.01,"5,175.00","2,981.30","1,391.00",622.05,31-DEC-2999,-,"4,252.85",-,41.95,0.99,28.09,-3.78
OFSS,"3,184.90","3,221.80","3,184.85","3,216.25",31.35,0.98,0.51,0.05,16.47,0.16,"3,750.00","2,883.25","4,180.00","2,770.00",31-DEC-2999,-,"3,184.90",-,31.35,0.98,-9.65,0.49
SHARDACROP,468.00,468.80,460.55,465.45,4.50,0.98,0.47,0.05,2.20,0.02,769.15,372.20,309.40,217.25,07-FEB-2023,INTERIM DIVIDEND - RS 3 PER SHARE,460.95,-,4.50,0.98,-13.77,-3.35
EDELWEISS,53.05,54.45,53.05,53.55,0.50,0.94,5.56,0.56,2.99,0.03,77.40,49.40,66.95,25.80,31-DEC-2999,-,53.05,-,0.50,0.94,-1.29,-15.54
RVNL,65.70,66.20,64.85,65.30,0.60,0.93,47.78,4.78,31.28,0.31,84.10,29.05,.00,.00,31-DEC-2999,-,64.70,-,0.60,0.93,80.64,0.54
ZENSARTECH,267.15,271.90,267.15,269.55,2.40,0.90,2.55,0.25,6.86,0.07,394.70,201.50,685.00,310.00,03-FEB-2023,INTERIM DIVIDEND - RS 1.50 PER SHARE,267.15,-,2.40,0.90,-29.65,-8.14
ATUL,"6,890.00","6,952.00","6,840.00","6,929.90",60.60,0.88,0.06,0.01,4.43,0.04,"10,647.40","6,745.65","1,497.00",395.00,31-DEC-2999,-,"6,869.30",-,60.60,0.88,-28.46,-3.77
PRSMJOHNSN,106.75,108.15,106.25,107.20,0.90,0.85,1.12,0.11,1.20,0.01,143.70,96.65,90.35,22.45,31-DEC-2999,-,106.30,-,0.90,0.85,-8.80,4.38
SWANENERGY,216.10,224.90,213.55,217.90,1.80,0.83,4.47,0.45,9.79,0.10,379.00,174.45,77.20,52.20,31-DEC-2999,-,216.10,-,1.80,0.83,22.55,-17.02
PCBL,114.90,115.75,113.50,115.50,0.95,0.83,2.93,0.29,3.37,0.03,153.75,94.75,.00,.00,10-FEB-2023,INTERIM DIVIDEND - RS 5.50 PER SHARE,114.55,-,0.95,0.83,-48.76,-4.35
PERSISTENT,"4,450.00","4,550.00","4,423.00","4,463.00",36.30,0.82,1.87,0.19,83.68,0.84,"5,135.00","3,092.05","1,655.00",825.00,25-JAN-2023,INTERIM DIVIDEND - RS 28 PER SHARE,"4,426.70",-,36.30,0.82,-0.62,-10.17
EPL,154.30,157.60,154.30,156.70,1.20,0.77,0.26,0.03,0.40,0.00,198.00,147.00,137.00,45.60,31-DEC-2999,-,155.50,-,1.20,0.77,1.03,-2.91
BIRLACORPN,932.00,943.90,922.70,937.90,7.10,0.76,0.44,0.04,4.16,0.04,"1,233.00",823.00,614.15,229.00,31-DEC-2999,-,930.80,-,7.10,0.76,-10.71,5.31
SONACOMS,414.10,417.90,413.40,416.65,3.10,0.75,4.46,0.45,18.54,0.19,700.00,398.05,.00,.00,06-FEB-2023,INTERIM DIVIDEND - RS 1.28 PER SHARE,413.55,-,3.10,0.75,-39.56,-10.55
BSOFT,269.35,274.45,268.05,269.95,1.95,0.73,11.43,1.14,31.00,0.31,501.60,250.25,191.00,140.10,31-DEC-2999,-,268.00,-,1.95,0.73,-42.26,-5.97
HGS,"1,030.00","1,040.85","1,024.00","1,034.60",7.40,0.72,0.16,0.02,1.65,0.02,"1,698.60",846.00,736.60,401.10,06-MAR-2023,BUY BACK,"1,027.20",-,7.40,0.72,-6.09,-20.67
POLICYBZR,583.80,589.00,578.15,584.40,4.10,0.71,3.21,0.32,18.71,0.19,825.05,356.20,.00,.00,31-DEC-2999,-,580.30,-,4.10,0.71,-18.08,17.33
ABB,"3,377.35","3,392.00","3,350.85","3,384.25",23.80,0.71,0.68,0.07,22.96,0.23,"3,446.30","1,944.60","1,263.50",566.95,31-DEC-2999,-,"3,360.45",-,23.80,0.71,65.02,6.78
GODREJIND,408.55,411.00,405.90,410.00,2.90,0.71,0.23,0.02,0.94,0.01,550.00,398.00,372.80,248.50,31-DEC-2999,-,407.10,-,2.90,0.71,-14.41,-2.15
CLEAN,"1,347.00","1,361.10","1,347.00","1,353.00",9.45,0.70,0.17,0.02,2.24,0.02,"2,098.60","1,330.00",.00,.00,10-FEB-2023,INTERIM DIVIDEND - RS 2 PER SHARE,"1,343.55",-,9.45,0.70,-34.24,-5.51
METROBRAND,775.25,789.55,775.25,786.00,5.40,0.69,0.38,0.04,3.01,0.03,980.85,505.10,.00,.00,27-JAN-2023,INTERIM DIVIDEND - RS 2.50 PER SHARE,780.60,-,5.40,0.69,37.91,-7.45
NATIONALUM,77.60,77.85,76.35,77.85,0.50,0.65,49.57,4.96,38.18,0.38,132.40,66.95,69.10,31.55,21-MAR-2023,INTERIM DIVIDEND - RS 2.50 PER SHARE,77.35,-,0.50,0.65,-36.78,-5.12
SOBHA,440.70,452.00,434.00,439.05,2.70,0.62,14.49,1.45,64.31,0.64,753.70,431.65,583.80,261.00,31-DEC-2999,-,436.35,-,2.70,0.62,-39.71,-25.62
TANLA,557.55,566.30,557.00,559.90,3.35,0.60,1.45,0.15,8.14,0.08,"1,638.35",550.00,.00,.00,31-DEC-2999,-,556.55,-,3.35,0.60,-60.59,-13.39
LUPIN,651.00,653.50,646.30,652.10,3.55,0.55,1.90,0.19,12.36,0.12,797.50,583.00,"1,497.50",851.50,31-DEC-2999,-,648.55,-,3.55,0.55,-12.62,-2.74
