symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
INDIAMART,"4,923.10","5,067.00","4,921.00","5,057.60",124.70,2.53,0.45,0.05,22.54,0.23,"5,248.00","3,676.00",.00,.00,31-DEC-2999,-,"4,932.90",-,124.70,2.53,12.70,6.24
AUROPHARMA,486.00,498.30,485.00,497.80,11.65,2.40,15.48,1.55,76.43,0.76,727.95,397.20,"1,152.40",286.55,17-FEB-2023,INTERIM DIVIDEND - RS 3 PER SHARE,486.15,-,11.65,2.40,-28.12,8.22
TIINDIA,"2,480.00","2,531.05","2,479.15","2,529.90",49.90,2.01,0.44,0.04,10.96,0.11,"3,046.20","1,457.60",.00,.00,15-FEB-2023,INTERIM DIVIDEND - RS 2 PER SHARE,"2,480.00",-,49.90,2.01,60.30,-0.70
PHOENIXLTD,"1,278.65","1,329.80","1,272.10","1,321.95",24.65,1.90,0.64,0.06,8.45,0.08,"1,624.00",955.35,400.85,197.50,31-DEC-2999,-,"1,297.30",-,24.65,1.90,29.95,2.43
LINDEINDIA,"3,934.95","4,009.00","3,900.00","3,985.25",69.90,1.79,0.22,0.02,8.54,0.09,"4,190.00","2,710.00",463.90,264.50,31-DEC-2999,-,"3,915.35",-,69.90,1.79,13.60,6.41
VBL,"1,346.35","1,394.00","1,345.80","1,375.00",19.90,1.47,11.01,1.10,151.89,1.52,"1,432.45",616.67,.00,.00,17-MAR-2023,ANNUAL GENERAL MEETING,"1,355.10",-,19.90,1.47,39.45,3.81
CROMPTON,290.85,297.30,290.10,295.50,4.10,1.41,16.28,1.63,48.05,0.48,429.00,278.00,.00,.00,31-DEC-2999,-,291.40,-,4.10,1.41,-23.59,-0.20
TVSMOTOR,"1,048.95","1,061.00","1,043.05","1,060.80",13.30,1.27,2.19,0.22,23.04,0.23,"1,176.90",589.05,266.70,52.50,02-FEB-2023,INTERIM DIVIDEND - RS 5 PER SHARE,"1,047.50",-,13.30,1.27,73.57,-5.77
PATANJALI,885.90,902.80,875.00,892.95,10.50,1.19,1.10,0.11,9.78,0.10,"1,495.00",853.50,.00,.00,31-DEC-2999,-,882.45,-,10.50,1.19,-,-
ASHOKLEY,137.95,138.70,136.70,138.70,1.40,1.02,28.18,2.82,38.81,0.39,169.45,110.25,56.20,14.85,31-DEC-2999,-,137.30,-,1.40,1.02,23.67,-6.13
ALKEM,"3,150.00","3,202.00","3,150.00","3,181.40",31.65,1.00,0.26,0.03,8.28,0.08,"3,724.95","2,828.00",.00,.00,17-FEB-2023,INTERIM DIVIDEND - RS 15 PER SHARE & SPECIAL DIVIDEND RS 25 PER SHARE,"3,149.75",-,31.65,1.00,-12.82,-2.28
SKFINDIA,"4,274.15","4,299.70","4,242.50","4,294.80",41.95,0.99,0.03,0.00,1.09,0.01,"5,175.00","2,981.30","1,391.00",622.05,31-DEC-2999,-,"4,252.85",-,41.95,0.99,28.09,-3.78
OFSS,"3,184.90","3,221.80","3,184.85","3,216.25",31.35,0.98,0.51,0.05,16.47,0.16,"3,750.00","2,883.25","4,180.00","2,770.00",31-DEC-2999,-,"3,184.90",-,31.35,0.98,-9.65,0.49
ATUL,"6,890.00","6,952.00","6,840.00","6,929.90",60.60,0.88,0.06,0.01,4.43,0.04,"10,647.40","6,745.65","1,497.00",395.00,31-DEC-2999,-,"6,869.30",-,60.60,0.88,-28.46,-3.77
PERSISTENT,"4,450.00","4,550.00","4,423.00","4,463.00",36.30,0.82,1.87,0.19,83.68,0.84,"5,135.00","3,092.05","1,655.00",825.00,25-JAN-2023,INTERIM DIVIDEND - RS 28 PER SHARE,"4,426.70",-,36.30,0.82,-0.62,-10.17
SONACOMS,414.10,417.90,413.40,416.65,3.10,0.75,4.46,0.45,18.54,0.19,700.00,398.05,.00,.00,06-FEB-2023,INTERIM DIVIDEND - RS 1.28 PER SHARE,413.55,-,3.10,0.75,-39.56,-10.55
ABB,"3,377.35","3,392.00","3,350.85","3,384.25",23.80,0.71,0.68,0.07,22.96,0.23,"3,446.30","1,944.60","1,263.50",566.95,31-DEC-2999,-,"3,360.45",-,23.80,0.71,65.02,6.78
POLICYBZR,583.80,589.00,578.15,584.40,4.10,0.71,3.21,0.32,18.71,0.19,825.05,356.20,.00,.00,31-DEC-2999,-,580.30,-,4.10,0.71,-18.08,17.33
GODREJIND,408.55,411.00,405.90,410.00,2.90,0.71,0.23,0.02,0.94,0.01,550.00,398.00,372.80,248.50,31-DEC-2999,-,407.10,-,2.90,0.71,-14.41,-2.15
CLEAN,"1,347.00","1,361.10","1,347.00","1,353.00",9.45,0.70,0.17,0.02,2.24,0.02,"2,098.60","1,330.00",.00,.00,10-FEB-2023,INTERIM DIVIDEND - RS 2 PER SHARE,"1,343.55",-,9.45,0.70,-34.24,-5.51
NATIONALUM,77.60,77.85,76.35,77.85,0.50,0.65,49.57,4.96,38.18,0.38,132.40,66.95,69.10,31.55,21-MAR-2023,INTERIM DIVIDEND - RS 2.50 PER SHARE,77.35,-,0.50,0.65,-36.78,-5.12
LUPIN,651.00,653.50,646.30,652.10,3.55,0.55,1.90,0.19,12.36,0.12,797.50,583.00,"1,497.50",851.50,31-DEC-2999,-,648.55,-,3.55,0.55,-12.62,-2.74
MSUMI,47.50,48.15,47.10,47.95,0.25,0.52,6.91,0.69,3.30,0.03,71.15,40.00,.00,.00,31-DEC-2999,-,47.70,-,0.25,0.52,-,-
SUPREMEIND,"2,540.15","2,565.00","2,520.10","2,553.10",12.95,0.51,0.16,0.02,4.02,0.04,"2,855.30","1,666.25",688.50,385.20,31-DEC-2999,-,"2,540.15",-,12.95,0.51,26.54,-7.38
DELHIVERY,325.00,328.40,324.05,327.30,1.60,0.49,2.26,0.23,7.38,0.07,708.00,291.00,.00,.00,31-DEC-2999,-,325.70,-,1.60,0.49,-,-
