symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
BAJAJHLDNG,"6,025.00","6,059.20","5,977.90","6,024.95",-7.50,-0.12,0.04,0.00,2.49,0.02,"7,378.45","4,294.05","1,638.00",850.15,31-DEC-2999,-,"6,032.45",-,-7.50,-0.12,19.40,-0.89
MOTHERSON,65.25,66.25,64.90,65.15,-0.10,-0.15,57.74,5.77,37.86,0.38,91.67,61.80,.00,.00,31-DEC-2999,-,65.25,-,-0.10,-0.15,-,-
DABUR,536.20,539.75,535.95,538.50,-0.90,-0.17,2.32,0.23,12.46,0.12,610.75,482.25,249.15,159.50,31-DEC-2999,-,539.40,-,-0.90,-0.17,2.99,0.63
IRCTC,605.10,607.50,602.15,604.05,-1.10,-0.18,2.48,0.25,15.01,0.15,840.95,557.00,.00,.00,22-FEB-2023,INTERIM DIVIDEND - RS 3.50 PER SHARE,605.15,-,-1.10,-0.18,-21.19,-5.99
BANKBARODA,162.50,163.95,161.05,162.15,-0.55,-0.34,64.76,6.48,105.18,1.05,197.20,89.85,"1,104.70",511.15,31-DEC-2999,-,162.70,-,-0.55,-0.34,52.61,1.41
DMART,"3,372.00","3,386.05","3,350.05","3,362.15",-11.35,-0.34,0.49,0.05,16.52,0.17,"4,609.00","3,186.00",.00,.00,31-DEC-2999,-,"3,373.50",-,-11.35,-0.34,-17.82,-4.64
NYKAA,138.40,138.75,137.00,137.55,-0.55,-0.40,7.33,0.73,10.10,0.10,315.44,120.70,.00,.00,31-DEC-2999,-,138.10,-,-0.55,-0.40,-91.06,-6.56
IOC,78.85,79.20,78.30,78.65,-0.35,-0.44,27.17,2.72,21.37,0.21,90.70,65.20,411.20,193.75,31-DEC-2999,-,79.00,-,-0.35,-0.44,-35.37,-0.69
SHREECEM,"25,413.15","25,449.00","25,110.60","25,298.95",-114.20,-0.45,0.09,0.01,22.63,0.23,"27,049.00","17,865.20","9,297.70","4,100.10",16-FEB-2023,INTERIM DIVIDEND - RS   45 PER SHARE,"25,413.15",-,-114.20,-0.45,8.05,-4.64
GODREJCP,952.00,955.30,943.30,947.80,-4.45,-0.47,4.33,0.43,41.06,0.41,964.00,667.10,"1,119.00",667.00,31-DEC-2999,-,952.25,-,-4.45,-0.47,36.50,1.13
ACC,"1,736.00","1,745.95","1,715.35","1,728.85",-9.45,-0.54,3.35,0.33,58.01,0.58,"2,785.00","1,659.00","1,564.65",970.15,31-DEC-2999,-,"1,738.30",-,-9.45,-0.54,-16.47,-5.44
GAIL,104.90,105.45,103.80,104.50,-0.60,-0.57,33.42,3.34,34.92,0.35,115.67,83.00,551.90,328.80,21-MAR-2023,INTERIM DIVIDEND - RS 4 PER SHARE,105.10,-,-0.60,-0.57,-27.23,9.65
PIIND,"2,971.60","2,975.35","2,920.00","2,938.85",-17.95,-0.61,0.52,0.05,15.15,0.15,"3,698.45","2,364.55",508.10,213.15,24-FEB-2023,INTERIM DIVIDEND - RS  4.5 PER SHARE,"2,956.80",-,-17.95,-0.61,7.23,-10.10
TATAPOWER,200.10,201.25,197.75,198.85,-1.25,-0.62,36.92,3.69,73.54,0.74,298.05,190.00,115.60,68.65,31-DEC-2999,-,200.10,-,-1.25,-0.62,-15.13,-4.38
ICICIGI,"1,083.40","1,083.40","1,069.55","1,074.20",-9.70,-0.89,0.74,0.07,7.94,0.08,"1,412.00","1,049.05",.00,.00,31-DEC-2999,-,"1,083.90",-,-9.70,-0.89,-14.24,-2.36
LICI,570.00,573.00,562.15,563.00,-5.80,-1.02,6.07,0.61,34.40,0.34,918.95,562.15,.00,.00,31-DEC-2999,-,568.80,-,-5.80,-1.02,-,-
DLF,366.00,368.00,361.40,363.60,-4.05,-1.10,12.82,1.28,46.67,0.47,418.50,294.70,242.95,100.10,31-DEC-2999,-,367.65,-,-4.05,-1.10,1.86,1.71
CHOLAFIN,741.50,744.65,728.50,737.90,-8.80,-1.18,5.62,0.56,41.31,0.41,817.75,600.00,518.00,223.60,10-FEB-2023,INTERIM DIVIDEND - RS 1.30 PER SHARE,746.70,-,-8.80,-1.18,2.24,-4.59
MUTHOOTFIN,979.00,982.70,961.10,967.85,-14.00,-1.43,2.62,0.26,25.37,0.25,"1,384.00",911.25,222.00,102.15,31-DEC-2999,-,981.85,-,-14.00,-1.43,-27.58,-1.82
BANDHANBNK,212.75,213.00,206.00,207.35,-5.15,-2.42,30.67,3.07,63.94,0.64,349.55,197.75,.00,.00,31-DEC-2999,-,212.50,-,-5.15,-2.42,-31.59,-9.77
GLAND,"1,275.00","1,323.30","1,234.45","1,244.90",-39.20,-3.05,5.29,0.53,67.75,0.68,"3,559.40","1,130.00",.00,.00,31-DEC-2999,-,"1,284.10",-,-39.20,-3.05,-62.01,-6.37
ZOMATO,52.50,52.85,50.80,51.00,-1.65,-3.13,345.25,34.52,177.39,1.77,88.70,40.60,.00,.00,31-DEC-2999,-,52.65,-,-1.65,-3.13,-36.84,-7.86
BIOCON,207.00,207.00,198.05,200.50,-6.50,-3.14,31.61,3.16,63.96,0.64,388.00,191.55,553.60,378.65,31-DEC-2999,-,207.00,-,-6.50,-3.14,-40.54,-11.73
HDFCAMC,"1,708.00","1,708.00","1,656.55","1,665.00",-78.85,-4.52,9.02,0.90,151.27,1.51,"2,480.00","1,589.50",.00,.00,31-DEC-2999,-,"1,743.85",-,-78.85,-4.52,-24.96,-9.17
