symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
METROBRAND,775.25,789.55,775.25,786.00,5.40,0.69,0.38,0.04,3.01,0.03,980.85,505.10,.00,.00,27-JAN-2023,INTERIM DIVIDEND - RS 2.50 PER SHARE,780.60,-,5.40,0.69,37.91,-7.45
SOBHA,440.70,452.00,434.00,439.05,2.70,0.62,14.49,1.45,64.31,0.64,753.70,431.65,583.80,261.00,31-DEC-2999,-,436.35,-,2.70,0.62,-39.71,-25.62
TANLA,557.55,566.30,557.00,559.90,3.35,0.60,1.45,0.15,8.14,0.08,"1,638.35",550.00,.00,.00,31-DEC-2999,-,556.55,-,3.35,0.60,-60.59,-13.39
FDC,253.90,258.10,252.60,257.60,1.40,0.55,0.24,0.02,0.61,0.01,318.00,225.00,170.70,100.80,31-DEC-2999,-,256.20,-,1.40,0.55,-1.21,-5.71
SUPRAJIT,354.60,359.20,353.00,356.05,1.95,0.55,0.39,0.04,1.39,0.01,398.40,299.00,134.90,38.60,23-FEB-2023,INTERIM DIVIDEND - RS 1.05 PER SHARE,354.10,-,1.95,0.55,7.63,1.67
CCL,559.30,564.00,555.00,559.20,2.70,0.49,0.15,0.02,0.85,0.01,593.00,315.20,158.00,31.55,31-JAN-2023,INTERIM DIVIDEND - RS 3 PER SHARE,556.50,-,2.70,0.49,38.85,4.49
GARFIBRES,"2,765.20","2,816.90","2,765.20","2,801.45",12.95,0.46,0.02,0.00,0.59,0.01,"3,754.85","2,662.25",187.25,51.05,31-DEC-2999,-,"2,788.50",-,12.95,0.46,4.03,-4.89
SUVENPHAR,471.10,474.15,471.05,473.80,2.00,0.42,0.22,0.02,1.02,0.01,631.75,390.50,.00,.00,31-DEC-2999,-,471.80,-,2.00,0.42,-19.69,-1.57
BBTC,836.90,843.95,833.55,840.00,3.00,0.36,0.13,0.01,1.10,0.01,"1,117.00",833.55,480.85,88.95,31-DEC-2999,-,837.00,-,3.00,0.36,-7.87,-6.04
JUBLINGREA,388.05,395.20,386.00,388.55,1.35,0.35,1.66,0.17,6.46,0.06,592.60,385.60,.00,.00,10-FEB-2023,INTERIM DIVIDEND - RS 2.50 PER SHARE,387.20,-,1.35,0.35,-22.73,-15.05
TATACOFFEE,204.60,206.50,203.60,204.20,0.70,0.34,1.37,0.14,2.80,0.03,251.70,188.75,"1,090.90",868.35,31-DEC-2999,-,203.50,-,0.70,0.34,1.57,-3.08
VARROC,254.45,256.75,252.35,255.30,0.85,0.33,0.28,0.03,0.70,0.01,493.85,239.45,.00,.00,31-DEC-2999,-,254.45,-,0.85,0.33,-21.48,-3.44
KALYANKJIL,118.25,119.65,115.35,118.00,0.35,0.30,9.09,0.91,10.68,0.11,134.20,55.05,.00,.00,31-DEC-2999,-,117.65,-,0.35,0.30,95.85,0.94
CHALET,362.40,375.00,360.10,361.60,1.05,0.29,0.30,0.03,1.09,0.01,410.00,275.00,.00,.00,31-DEC-2999,-,360.55,-,1.05,0.29,18.23,-2.82
INTELLECT,407.85,414.00,404.00,408.00,1.05,0.26,1.30,0.13,5.31,0.05,986.65,388.65,80.10,69.25,31-DEC-2999,-,406.95,-,1.05,0.26,-51.30,-12.23
CGCL,574.00,574.10,571.00,573.40,1.45,0.25,0.32,0.03,1.85,0.02,769.48,513.95,237.80,93.10,17-FEB-2023,RIGHTS 11:64 @ PREMIUM RS 473/-,571.95,-,1.45,0.25,-7.45,-18.05
GUJALKALI,595.60,598.05,588.65,594.00,1.40,0.24,0.20,0.02,1.19,0.01,"1,044.70",588.65,237.20,153.60,31-DEC-2999,-,592.60,-,1.40,0.24,-24.20,-9.61
TEAMLEASE,"2,295.00","2,316.20","2,286.20","2,296.35",5.60,0.24,0.09,0.01,2.03,0.02,"4,388.05","2,172.30",.00,.00,31-DEC-2999,-,"2,290.75",-,5.60,0.24,-40.28,-8.76
ORIENTELEC,270.50,271.75,269.15,271.00,0.65,0.24,0.18,0.02,0.49,0.00,358.00,244.00,.00,.00,09-FEB-2023,INTERIM DIVIDEND - RE 0.75  PER SHARE,270.35,-,0.65,0.24,-16.82,-2.25
CARBORUNIV,955.00,956.95,946.00,953.15,2.10,0.22,0.16,0.02,1.48,0.01,"1,045.70",652.00,221.00,123.25,10-FEB-2023,INTERIM DIVIDEND - RS 1.50 PER SHARE,951.05,-,2.10,0.22,25.16,-3.08
MOTILALOFS,560.00,562.30,556.00,560.55,1.15,0.21,0.30,0.03,1.70,0.02,960.00,556.00,269.00,71.95,03-FEB-2023,INTERIM DIVIDEND - RS 7 PER SHARE,559.40,-,1.15,0.21,-36.35,-14.76
IDFC,80.25,80.75,79.40,80.50,0.15,0.19,50.42,5.04,40.42,0.40,92.40,42.20,166.65,88.05,13-FEB-2023,SPECIAL DIVIDEND - RS 11 PER SHARE,80.35,-,0.15,0.19,33.50,7.26
SFL,"1,063.90","1,063.90","1,051.00","1,055.10",1.75,0.17,0.05,0.01,0.56,0.01,"2,027.50","1,050.00",.00,.00,31-DEC-2999,-,"1,053.35",-,1.75,0.17,-68.24,-7.01
DCMSHRIRAM,803.00,809.80,801.55,803.75,1.30,0.16,0.05,0.01,0.41,0.00,"1,263.85",800.45,251.85,73.55,01-FEB-2023,INTERIM DIVIDEND - RS 5.80 PER SHARE,802.45,-,1.30,0.16,-24.37,-7.34
RADICO,"1,199.75","1,222.00","1,186.90","1,198.55",1.65,0.14,0.63,0.06,7.61,0.08,"1,230.00",723.20,171.80,75.95,31-DEC-2999,-,"1,196.90",-,1.65,0.14,31.74,9.66
GRANULES,281.05,281.95,278.60,281.10,0.40,0.14,3.02,0.30,8.46,0.08,381.00,226.95,940.00,163.15,31-DEC-2999,-,280.70,-,0.40,0.14,-9.60,-1.80
GAEL,245.00,247.60,243.05,244.95,0.35,0.14,0.71,0.07,1.74,0.02,394.15,215.40,69.00,25.60,31-DEC-2999,-,244.60,-,0.35,0.14,-0.53,0.91
MOIL,149.80,149.80,148.10,148.65,0.20,0.13,0.23,0.02,0.34,0.00,197.40,137.30,341.70,210.35,08-FEB-2023,INTERIM DIVIDEND - RS 3 PER SHARE,148.45,-,0.20,0.13,-18.48,-5.62
GALAXYSURF,"2,392.35","2,411.45","2,380.55","2,390.85",2.55,0.11,0.03,0.00,0.70,0.01,"3,447.55","2,302.35",.00,.00,20-FEB-2023,INTERIM DIVIDEND - RS 18 PER SHARE,"2,388.30",-,2.55,0.11,-18.65,-0.53
JBCHEPHARM,"1,952.00","1,974.45","1,952.00","1,971.00",2.25,0.11,0.05,0.00,0.98,0.01,"2,150.00","1,342.20",257.90,108.35,17-FEB-2023,INTERIM DIVIDEND - RS 8.50 PER SHARE,"1,968.75",-,2.25,0.11,24.37,0.68
RBA,89.85,90.55,89.70,90.00,0.10,0.11,0.82,0.08,0.74,0.01,137.80,86.50,.00,.00,31-DEC-2999,-,89.90,-,0.10,0.11,-11.29,-8.35
POWERINDIA,"3,360.00","3,388.45","3,325.05","3,360.50",3.35,0.10,0.05,0.01,1.75,0.02,"3,915.00","2,750.10",.00,.00,31-DEC-2999,-,"3,357.15",-,3.35,0.10,-0.33,10.17
MHRIL,263.75,266.75,259.75,264.70,0.25,0.09,0.43,0.04,1.12,0.01,313.60,195.00,339.00,218.00,31-DEC-2999,-,264.45,-,0.25,0.09,16.53,-3.61
JBMA,639.00,650.00,636.15,639.50,0.60,0.09,2.63,0.26,16.95,0.17,672.90,361.00,311.80,14.75,31-DEC-2999,-,638.90,-,0.60,0.09,46.07,11.12
