date,open,high,low,close,adjclose
2018-03-23,452.5,480.2749938964844,451.7749938964844,478.70001220703125,448.62396240234375
2018-03-26,478.6000061035156,485.5,472.5,483.5249938964844,453.14581298828125
2018-03-27,487.5,489.45001220703125,477.25,486.0249938964844,455.4886779785156
2018-03-28,480.7749938964844,490.79998779296875,477.5249938964844,484.29998779296875,453.8720397949219
2018-04-02,483.1499938964844,492.45001220703125,482.3999938964844,489.75,458.9795837402344
2018-04-03,486.25,494.5,481.5249938964844,484.625,454.1767272949219
2018-04-04,490.5,490.625,474.75,479.625,449.4907531738281
2018-04-05,485.0,492.1000061035156,478.2749938964844,481.0249938964844,450.8028564453125
2018-04-06,486.0,486.0,475.29998779296875,476.32501220703125,446.3981628417969
2018-04-09,477.1499938964844,481.32501220703125,474.0,476.625,446.67926025390625
2018-04-10,476.54998779296875,480.9750061035156,471.7749938964844,474.2250061035156,444.4300537109375
2018-04-11,477.5,488.8500061035156,475.67498779296875,483.6499938964844,453.26287841796875
2018-04-12,483.9750061035156,506.5,483.6499938964844,505.0249938964844,473.2948913574219
2018-04-13,507.25,510.0,494.125,495.625,464.4855041503906
2018-04-16,489.5,503.375,488.04998779296875,499.95001220703125,468.53875732421875
2018-04-17,498.5249938964844,508.0,498.5249938964844,505.5,473.7401428222656
2018-04-18,507.45001220703125,507.8999938964844,496.5,498.42498779296875,467.10955810546875
2018-04-19,502.5,510.75,499.5,509.2749938964844,477.2779541015625
2018-04-20,510.0,537.0999755859375,509.95001220703125,531.1749877929688,497.80194091796875
2018-04-23,531.0,554.0,527.5,544.0,509.8211364746094
2018-04-24,542.4500122070312,549.875,529.0499877929688,530.9749755859375,497.61444091796875
2018-04-25,530.9249877929688,540.75,523.0,534.4000244140625,500.824462890625
2018-04-26,528.0,544.1749877929688,525.8250122070312,538.6500244140625,504.8072814941406
2018-04-27,538.5,545.3250122070312,517.5,520.8250122070312,488.1022644042969
2018-04-30,524.4500122070312,539.5,522.5250244140625,526.375,493.30352783203125
2018-05-02,525.0,525.9749755859375,497.75,500.25,468.8199462890625
2018-05-03,498.5,498.5,460.0,462.8500061035156,433.769775390625
2018-05-04,461.4750061035156,472.0,453.8500061035156,464.92498779296875,435.7143859863281
2018-05-07,468.3999938964844,470.32501220703125,460.5249938964844,464.1000061035156,434.94122314453125
2018-05-08,465.1000061035156,466.5,453.54998779296875,460.04998779296875,431.1456604003906
2018-05-09,462.0,468.32501220703125,460.3999938964844,463.75,435.5599365234375
2018-05-10,466.45001220703125,468.95001220703125,463.04998779296875,465.1000061035156,436.8279113769531
2018-05-11,465.6000061035156,469.125,465.54998779296875,466.42498779296875,438.0723571777344
2018-05-14,468.70001220703125,468.70001220703125,460.2250061035156,462.6499938964844,434.5268249511719
2018-05-15,460.1499938964844,466.3500061035156,455.7749938964844,462.5,434.38592529296875
2018-05-16,461.25,465.45001220703125,458.25,460.125,432.15521240234375
2018-05-17,463.45001220703125,463.45001220703125,452.3500061035156,454.875,427.22442626953125
2018-05-18,452.5,459.0,443.54998779296875,445.3500061035156,418.2784423828125
2018-05-21,446.0,450.2749938964844,443.5,447.9750061035156,420.7438659667969
2018-05-22,445.17498779296875,455.8500061035156,444.7749938964844,452.45001220703125,424.94683837890625
2018-05-23,452.5,459.20001220703125,445.92498779296875,447.17498779296875,419.9925231933594
2018-05-24,452.9750061035156,458.95001220703125,450.1000061035156,455.8500061035156,428.1401672363281
2018-05-25,458.95001220703125,461.92498779296875,456.0,458.0,430.1594543457031
2018-05-28,458.0,458.5,445.5,447.25,420.06292724609375
2018-05-29,449.5,454.75,447.5,452.54998779296875,425.040771484375
2018-05-30,453.5,455.8999938964844,448.79998779296875,453.67498779296875,426.09735107421875
2018-05-31,454.0,457.3999938964844,450.5249938964844,455.17498779296875,427.5061950683594
2018-06-01,455.0,461.95001220703125,450.0,452.42498779296875,424.92340087890625
2018-06-04,453.5,458.45001220703125,449.57501220703125,450.3500061035156,422.9744873046875
2018-06-05,452.9750061035156,455.1000061035156,440.0249938964844,442.5249938964844,415.62518310546875
2018-06-06,445.9750061035156,458.8999938964844,445.0,454.4750061035156,426.8487548828125
2018-06-07,452.5,463.0,452.5,460.67498779296875,432.6718444824219
2018-06-08,460.5,467.95001220703125,458.92498779296875,464.3500061035156,436.12353515625
2018-06-11,466.5,471.25,453.875,455.79998779296875,428.0932312011719
2018-06-12,456.4750061035156,462.0,455.82501220703125,457.3999938964844,429.59600830078125
