symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
MARUTI,"8,353.20","8,386.50","8,278.05","8,330.35",-22.85,-0.27,1.39,0.14,115.62,1.16,"9,769.00","7,062.35","3,432.00","1,540.40",31-DEC-2999,-,"8,353.20",-,-22.85,-0.27,8.97,-3.92
EICHERMOT,"2,925.00","2,926.70","2,886.65","2,919.45",-8.25,-0.28,2.28,0.23,66.10,0.66,"3,864.10","2,310.00","15,149.90","4,401.10",31-DEC-2999,-,"2,927.70",-,-8.25,-0.28,21.94,-10.83
NTPC,175.20,175.20,173.60,174.05,-0.55,-0.32,10.30,1.03,17.96,0.18,182.20,132.20,168.90,110.65,03-FEB-2023,INTERIM DIVIDEND - RS 4.25 PER SHARE,174.60,-,-0.55,-0.32,30.42,0.46
BPCL,347.90,348.35,344.00,347.15,-1.20,-0.34,9.63,0.96,33.31,0.33,398.80,288.05,785.00,316.05,31-DEC-2999,-,348.35,-,-1.20,-0.34,-5.31,7.39
SUNPHARMA,977.60,979.00,968.70,972.75,-4.90,-0.50,3.96,0.40,38.57,0.39,"1,072.15",789.90,932.50,552.55,08-FEB-2023,INTERIM DIVIDEND - RS 7.50 PER SHARE,977.65,-,-4.90,-0.50,7.99,0.12
COALINDIA,213.25,213.90,211.05,212.20,-1.15,-0.54,17.24,1.72,36.58,0.37,263.40,164.65,423.70,240.30,08-FEB-2023,INTERIM DIVIDEND - RS 5.25 PER SHARE,213.35,-,-1.15,-0.54,15.92,-0.86
ONGC,152.70,153.20,150.70,151.95,-0.85,-0.56,33.03,3.30,50.10,0.50,180.40,119.85,471.85,264.15,24-FEB-2023,INTERIM DIVIDEND - RS 4 PER SHARE,152.80,-,-0.85,-0.56,-13.47,-1.40
TITAN,"2,516.80","2,519.70","2,491.00","2,505.05",-14.00,-0.56,1.54,0.15,38.61,0.39,"2,791.00","1,825.05",425.00,202.45,31-DEC-2999,-,"2,519.05",-,-14.00,-0.56,-6.88,1.68
ULTRACEMCO,"7,404.00","7,431.20","7,327.55","7,363.05",-44.90,-0.61,0.47,0.05,34.54,0.35,"7,492.00","5,157.05","2,872.00","1,634.00",31-DEC-2999,-,"7,407.95",-,-44.90,-0.61,18.11,0.31
TATACONSUM,707.00,709.70,698.85,702.75,-4.40,-0.62,3.48,0.35,24.43,0.24,861.15,686.60,177.15,135.25,31-DEC-2999,-,707.15,-,-4.40,-0.62,-6.15,-3.23
LT,"2,206.00","2,219.35","2,188.80","2,192.00",-14.65,-0.66,4.37,0.44,96.31,0.96,"2,297.65","1,456.35","1,776.60",951.50,31-DEC-2999,-,"2,206.65",-,-14.65,-0.66,24.03,-1.68
ADANIPORTS,658.20,660.65,641.05,650.65,-4.30,-0.66,27.42,2.74,178.92,1.79,987.85,395.10,308.75,141.00,31-DEC-2999,-,654.95,-,-4.30,-0.66,-11.33,11.57
HEROMOTOCO,"2,363.00","2,378.70","2,335.55","2,344.15",-18.35,-0.78,0.82,0.08,19.29,0.19,"2,938.60","2,150.00","3,269.95","1,907.10",17-FEB-2023,INTERIM DIVIDEND - RS  65 PER SHARE,"2,362.50",-,-18.35,-0.78,-2.11,-7.00
BRITANNIA,"4,242.00","4,242.00","4,196.40","4,209.00",-33.70,-0.79,0.67,0.07,28.24,0.28,"4,669.20","3,060.05","1,729.80",809.10,31-DEC-2999,-,"4,242.70",-,-33.70,-0.79,35.68,-6.54
UPL,713.80,713.80,700.00,704.00,-5.70,-0.80,3.17,0.32,22.34,0.22,848.00,607.50,388.70,161.10,31-DEC-2999,-,709.70,-,-5.70,-0.80,-11.33,-5.78
JSWSTEEL,671.15,671.15,659.20,661.75,-6.05,-0.91,4.97,0.50,32.88,0.33,790.00,520.05,"1,366.50",804.00,31-DEC-2999,-,667.80,-,-6.05,-0.91,-6.05,-8.10
RELIANCE,"2,245.25","2,250.00","2,220.00","2,227.00",-20.80,-0.93,18.99,1.90,423.47,4.23,"2,856.15","2,180.00","1,145.25",793.10,31-DEC-2999,-,"2,247.80",-,-20.80,-0.93,-12.30,-8.51
SBILIFE,"1,110.00","1,112.00","1,088.50","1,107.55",-11.10,-0.99,4.85,0.48,53.30,0.53,"1,340.35","1,033.20",.00,.00,16-MAR-2023,INTERIM DIVIDEND - RS 2.50 PER SHARE,"1,118.65",-,-11.10,-0.99,1.40,-3.72
HDFCLIFE,494.50,494.50,481.60,492.90,-5.65,-1.13,30.37,3.04,148.20,1.48,620.60,457.80,.00,.00,31-DEC-2999,-,498.55,-,-5.65,-1.13,-6.27,-1.63
TATASTEEL,105.00,105.05,102.75,103.05,-1.85,-1.76,163.13,16.31,169.13,1.69,138.67,82.70,579.90,332.00,31-DEC-2999,-,104.90,-,-1.85,-1.76,-92.26,-8.93
BAJAJFINSV,"1,281.30","1,290.00","1,257.00","1,265.90",-24.10,-1.87,9.78,0.98,124.06,1.24,"1,844.00","1,072.72","1,173.95",658.35,31-DEC-2999,-,"1,290.00",-,-24.10,-1.87,-92.28,-9.21
BAJFINANCE,"5,803.90","5,829.75","5,680.50","5,719.25",-113.80,-1.95,5.72,0.57,327.86,3.28,"7,778.00","5,220.00","3,385.00","1,375.00",31-DEC-2999,-,"5,833.05",-,-113.80,-1.95,-18.35,-10.35
HINDALCO,400.80,401.00,388.40,389.65,-9.15,-2.29,44.54,4.45,175.19,1.75,636.00,308.95,198.90,96.70,31-DEC-2999,-,398.80,-,-9.15,-2.29,-35.96,-9.70
ADANIENT,"1,796.00","1,823.00","1,695.25","1,745.55",-48.45,-2.70,33.36,3.34,590.11,5.90,"4,190.00","1,017.45",585.00,210.10,31-DEC-2999,-,"1,794.00",-,-48.45,-2.70,-3.61,11.10
