symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
AUROPHARMA,486.00,498.30,485.00,497.60,11.45,2.36,15.46,1.55,76.31,0.76,727.95,397.20,"1,152.40",286.55,17-FEB-2023,INTERIM DIVIDEND - RS 3 PER SHARE,486.15,-,11.45,2.36,-28.14,8.17
TVSMOTOR,"1,048.95","1,059.95","1,043.05","1,059.70",12.20,1.16,2.11,0.21,22.23,0.22,"1,176.90",589.05,266.70,52.50,02-FEB-2023,INTERIM DIVIDEND - RS 5 PER SHARE,"1,047.50",-,12.20,1.16,73.39,-5.87
ALKEM,"3,150.00","3,202.00","3,150.00","3,181.40",31.65,1.00,0.26,0.03,8.28,0.08,"3,724.95","2,828.00",.00,.00,17-FEB-2023,INTERIM DIVIDEND - RS 15 PER SHARE & SPECIAL DIVIDEND RS 25 PER SHARE,"3,149.75",-,31.65,1.00,-12.82,-2.28
OFSS,"3,184.90","3,221.80","3,184.85","3,216.25",31.35,0.98,0.51,0.05,16.46,0.16,"3,750.00","2,883.25","4,180.00","2,770.00",31-DEC-2999,-,"3,184.90",-,31.35,0.98,-9.65,0.49
ASHOKLEY,137.95,138.65,136.70,138.65,1.35,0.98,28.02,2.80,38.58,0.39,169.45,110.25,56.20,14.85,31-DEC-2999,-,137.30,-,1.35,0.98,23.63,-6.16
PERSISTENT,"4,450.00","4,550.00","4,423.00","4,459.10",32.40,0.73,1.86,0.19,83.19,0.83,"5,135.00","3,092.05","1,655.00",825.00,25-JAN-2023,INTERIM DIVIDEND - RS 28 PER SHARE,"4,426.70",-,32.40,0.73,-0.71,-10.24
ABB,"3,377.35","3,392.00","3,350.85","3,384.55",24.10,0.72,0.68,0.07,22.96,0.23,"3,446.30","1,944.60","1,263.50",566.95,31-DEC-2999,-,"3,360.45",-,24.10,0.72,65.04,6.79
LUPIN,651.00,653.50,646.30,651.65,3.10,0.48,1.89,0.19,12.31,0.12,797.50,583.00,"1,497.50",851.50,31-DEC-2999,-,648.55,-,3.10,0.48,-12.68,-2.80
PAGEIND,"37,516.35","37,750.00","37,303.00","37,683.30",166.95,0.45,0.05,0.00,17.40,0.17,"54,349.10","35,575.00","10,390.00","5,010.00",17-FEB-2023,INTERIM DIVIDEND - RS 60 PER SHARE,"37,516.35",-,166.95,0.45,-10.33,-2.50
ZYDUSLIFE,483.50,484.55,478.80,484.30,2.00,0.41,1.76,0.18,8.46,0.08,488.30,319.00,.00,.00,31-DEC-2999,-,482.30,-,2.00,0.41,31.67,3.38
MRF,"84,448.95","84,599.90","83,900.00","84,503.20",338.55,0.40,0.01,0.00,10.07,0.10,"96,000.00","64,701.45","33,980.00","17,070.00",21-FEB-2023,INTERIM DIVIDEND - RS 3 PER SHARE,"84,164.65",-,338.55,0.40,26.42,-6.06
ASTRAL,"1,330.00","1,353.95","1,330.00","1,341.55",5.20,0.39,1.56,0.16,20.96,0.21,"1,991.15","1,186.19",448.00,125.00,14-MAR-2023,BONUS 1:3,"1,336.35",-,5.20,0.39,-33.03,-31.01
FEDERALBNK,127.00,127.45,125.85,127.45,0.45,0.35,23.18,2.32,29.37,0.29,143.40,82.50,152.95,72.35,31-DEC-2999,-,127.00,-,0.45,0.35,29.33,0.08
UBL,"1,440.50","1,441.90","1,428.70","1,440.00",3.55,0.25,0.32,0.03,4.54,0.05,"1,806.45","1,380.00",859.00,615.65,31-DEC-2999,-,"1,436.45",-,3.55,0.25,0.20,-1.66
COFORGE,"3,770.00","3,827.60","3,737.05","3,756.80",8.20,0.22,1.21,0.12,45.63,0.46,"4,605.00","3,210.05",487.00,310.30,03-FEB-2023,INTERIM DIVIDEND - RS 19 PER SH,"3,748.60",-,8.20,0.22,-15.30,-13.44
IDFCFIRSTB,55.10,56.05,55.00,55.20,0.10,0.18,109.40,10.94,60.76,0.61,64.30,28.95,.00,.00,31-DEC-2999,-,55.10,-,0.10,0.18,35.46,1.10
TATACOMM,"1,224.00","1,231.60","1,214.55","1,223.60",1.70,0.14,1.39,0.14,16.98,0.17,"1,430.60",856.25,462.40,258.50,31-DEC-2999,-,"1,221.90",-,1.70,0.14,3.32,-0.56
HONAUT,"35,500.00","35,540.00","35,146.00","35,540.00",20.15,0.06,0.01,0.00,3.33,0.03,"44,347.15","30,185.35","7,470.00","2,474.00",31-DEC-2999,-,"35,519.85",-,20.15,0.06,-9.13,-1.26
BATAINDIA,"1,418.00","1,419.00","1,400.60","1,417.00",0.70,0.05,4.75,0.48,66.94,0.67,"2,039.75","1,381.05","1,413.40",894.55,31-DEC-2999,-,"1,416.30",-,0.70,0.05,-26.42,0.30
ZEEL,216.50,217.75,210.70,216.05,0.05,0.02,37.81,3.78,81.00,0.81,308.70,176.55,402.40,251.80,31-DEC-2999,-,216.00,-,0.05,0.02,-15.62,2.56
POLYCAB,"2,861.85","2,871.05","2,847.40","2,861.00",0.30,0.01,0.42,0.04,12.07,0.12,"3,143.40","2,043.85",.00,.00,31-DEC-2999,-,"2,860.70",-,0.30,0.01,18.52,-5.93
ABBOTINDIA,"21,540.20","21,642.75","21,414.10","21,542.00",1.80,0.01,0.01,0.00,2.27,0.02,"22,499.00","15,870.00","3,617.00","1,450.00",31-DEC-2999,-,"21,540.20",-,1.80,0.01,29.44,7.55
