symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
BHARATFORG,770.10,773.65,765.50,769.55,-0.55,-0.07,1.94,0.19,14.97,0.15,919.45,597.00,979.00,291.10,31-DEC-2999,-,770.10,-,-0.55,-0.07,13.03,-9.97
MFSL,627.10,635.20,620.55,632.30,-0.65,-0.10,8.59,0.86,54.08,0.54,885.00,611.50,442.80,177.10,31-DEC-2999,-,632.95,-,-0.65,-0.10,-17.88,-10.81
LTTS,"3,373.40","3,402.90","3,336.60","3,357.50",-3.40,-0.10,1.11,0.11,37.38,0.37,"5,295.00","2,924.20",.00,.00,31-DEC-2999,-,"3,360.90",-,-3.40,-0.10,-31.45,-10.56
CUMMINSIND,"1,638.65","1,640.95","1,622.20","1,627.25",-3.25,-0.20,1.25,0.13,20.41,0.20,"1,706.95",947.10,955.60,417.70,21-FEB-2023,INTERIM DIVIDEND - RS 12 PER SHARE,"1,630.50",-,-3.25,-0.20,49.69,3.10
GODREJPROP,"1,065.70","1,069.15","1,052.10","1,063.45",-3.45,-0.32,1.67,0.17,17.73,0.18,"1,715.15","1,052.10",264.50,154.00,31-DEC-2999,-,"1,066.90",-,-3.45,-0.32,-31.76,-6.97
GUJGASLTD,493.75,494.65,487.35,489.45,-1.80,-0.37,1.47,0.15,7.20,0.07,583.75,403.55,.00,.00,31-DEC-2999,-,491.25,-,-1.80,-0.37,-2.24,-3.38
OBEROIRLTY,855.00,860.45,848.20,852.55,-3.15,-0.37,0.77,0.08,6.57,0.07,"1,088.95",725.95,283.60,180.50,31-DEC-2999,-,855.70,-,-3.15,-0.37,-7.62,-0.43
ESCORTS,"1,854.00","1,858.50","1,836.90","1,848.60",-8.05,-0.43,0.50,0.05,9.21,0.09,"2,358.35","1,306.70",174.25,102.50,31-DEC-2999,-,"1,856.65",-,-8.05,-0.43,-0.42,-12.27
INDHOTEL,314.00,315.95,311.30,312.60,-1.45,-0.46,4.82,0.48,15.07,0.15,349.00,207.25,115.90,47.50,31-DEC-2999,-,314.05,-,-1.45,-0.46,44.66,0.89
BALKRISIND,"1,984.45","1,985.70","1,956.00","1,968.05",-10.85,-0.55,0.45,0.05,8.92,0.09,"2,450.00","1,796.30",.00,.00,17-FEB-2023,INTERIM DIVIDEND - RS 4 PER SHARE,"1,978.90",-,-10.85,-0.55,-4.84,-4.14
TORNTPOWER,515.00,517.25,510.30,512.35,-3.15,-0.61,0.74,0.07,3.80,0.04,610.00,415.25,173.25,79.05,22-FEB-2023,INTERIM DIVIDEND - RS 09 PER SHARE / SPECIAL DIVIDEND - RS 13 PER SHARE,515.50,-,-3.15,-0.61,5.78,-1.08
RECLTD,117.40,117.50,115.85,116.65,-0.75,-0.64,14.59,1.46,16.99,0.17,128.45,82.24,383.40,166.50,09-FEB-2023,INTERIM DIVIDEND - RS 3.25 PER SHARE,117.40,-,-0.75,-0.64,-7.64,2.37
SHRIRAMFIN,"1,254.30","1,254.30","1,230.00","1,251.95",-8.60,-0.68,3.61,0.36,44.78,0.45,"1,419.50","1,190.00",.00,.00,03-JAN-2023,INTERIM DIVIDEND - RS 15 PER SHARE,"1,260.55",-,-8.60,-0.68,-,-
JUBLFOOD,447.55,449.40,439.50,445.05,-3.10,-0.69,5.56,0.56,24.61,0.25,652.35,412.10,"1,497.40",937.70,31-DEC-2999,-,448.15,-,-3.10,-0.69,-83.21,-3.36
HINDPETRO,242.00,242.70,238.50,241.00,-1.70,-0.70,4.55,0.46,10.94,0.11,306.70,200.05,627.80,205.05,31-DEC-2999,-,242.70,-,-1.70,-0.70,-15.33,6.05
PNB,47.00,47.15,46.25,46.50,-0.35,-0.75,157.59,15.76,73.48,0.73,62.00,28.05,"1,096.50",509.15,31-DEC-2999,-,46.85,-,-0.35,-0.75,30.25,-5.20
CANBK,279.65,281.45,276.50,278.40,-2.20,-0.78,27.16,2.72,75.76,0.76,341.70,171.75,498.00,209.00,31-DEC-2999,-,280.60,-,-2.20,-0.78,23.57,-0.20
IDEA,6.40,6.50,6.25,6.40,-0.05,-0.78,554.96,55.50,35.35,0.35,11.55,6.25,183.70,125.10,31-DEC-2999,-,6.45,-,-0.05,-0.78,-36.00,-8.57
VOLTAS,833.00,836.50,824.00,825.90,-7.15,-0.86,2.50,0.25,20.70,0.21,"1,347.65",737.20,286.45,96.85,31-DEC-2999,-,833.05,-,-7.15,-0.86,-36.71,-7.80
CONCOR,587.90,590.45,580.25,583.85,-6.40,-1.08,1.95,0.19,11.36,0.11,828.75,554.00,"1,504.70",697.55,06-FEB-2023,INTERIM DIVIDEND - RS 4 PER SHARE,590.25,-,-6.40,-1.08,-5.06,-2.01
PFC,151.00,151.50,149.60,150.65,-1.70,-1.12,17.34,1.73,26.12,0.26,170.60,97.10,344.75,128.75,24-FEB-2023,INTERIM DIVIDEND - RS  3.50 PER SHARE,152.35,-,-1.70,-1.12,29.87,0.70
PETRONET,229.30,230.15,225.55,226.70,-2.60,-1.13,6.24,0.62,14.19,0.14,239.80,191.30,208.80,102.60,31-DEC-2999,-,229.30,-,-2.60,-1.13,15.63,6.21
M&MFIN,226.65,226.65,220.50,224.60,-3.10,-1.36,24.84,2.48,55.29,0.55,272.00,156.45,356.50,229.25,31-DEC-2999,-,227.70,-,-3.10,-1.36,41.35,-12.30
LICHSGFIN,335.00,335.00,326.00,328.95,-6.30,-1.88,8.39,0.84,27.62,0.28,443.60,291.75,429.50,187.05,31-DEC-2999,-,335.25,-,-6.30,-1.88,-10.20,-8.18
TRENT,"1,345.00","1,345.00","1,308.35","1,315.35",-29.80,-2.22,1.67,0.17,22.01,0.22,"1,551.70",982.85,"1,575.90",950.00,31-DEC-2999,-,"1,345.15",-,-29.80,-2.22,1.16,-1.70
AUBANK,570.00,570.20,548.00,554.25,-15.40,-2.70,10.67,1.07,59.19,0.59,732.98,539.00,.00,.00,31-DEC-2999,-,569.65,-,-15.40,-2.70,-55.15,-8.40
SAIL,85.05,85.05,82.70,83.40,-1.45,-1.71,102.41,10.24,85.55,0.86,112.35,63.60,112.95,54.05,24-MAR-2023,INTERIM DIVIDEND - RE 1 PER SHARE,85.85,-,-1.45,-1.71,-19.11,-4.30
JINDALSTEL,557.95,557.95,535.00,539.10,-18.10,-3.25,14.67,1.47,79.81,0.80,622.75,304.20,351.00,127.70,31-DEC-2999,-,557.20,-,-18.10,-3.25,5.54,-8.52
